License,DBA Name,AKA Name,Facility Type,Risk,Address,City,State,Zip,Inspection ID,Label
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,2472642,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,2320935,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,2144871,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,2050308,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1977093,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1970902,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1970312,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1684285,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1607237,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1418938,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1447571,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1447264,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,1324560,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,680088,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,679663,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,114767,
2,COSI,COSI,Restaurant,Risk 1 (High),230 W MONROE ST ,CHICAGO,IL,60606,229468,
